deso,bilar_i_trafik,,"Personbilar i trafik efter år, region och status"
0114A0010,426,,
0114C1010,704,,
0114C1020,746,,
0114C1030,1031,,
0114C1040,781,,
0114C1050,874,,
0114C1060,1123,,
0114C1070,769,,
0114C1080,674,,
0114C1090,683,,
0114C1100,796,,
0114C1110,775,,
0114C1120,761,,
0114C1130,692,,
0114C1140,1408,,
0114C1150,826,,
0114C1160,642,,
0114C1170,637,,
0114C1180,462,,
0114C1190,776,,
0114C1200,678,,
0114C1210,668,,
0114C1220,659,,
0115A0010,1265,,
0115A0020,773,,
0115A0030,801,,
0115A0040,769,,
0115B2010,647,,
0115B3010,559,,
0115C1010,1028,,
0115C1020,911,,
0115C1030,498,,
0115C1040,952,,
0115C1050,1253,,
0115C1060,791,,
0115C1070,739,,
0115C1080,698,,
0115C1090,447,,
0115C1100,1089,,
0115C1110,865,,
0115C1120,765,,
0115C1130,518,,
0117A0010,328,,
0117A0020,1140,,
0117A0030,1366,,
0117C1010,768,,
0117C1020,856,,
0117C1030,1268,,
0117C1040,1154,,
0117C1050,1008,,
0117C1060,1139,,
0117C1070,975,,
0117C1080,1442,,
0117C1090,1048,,
0117C1100,961,,
0117C1110,657,,
0117C1120,657,,
0117C1130,852,,
0117C1140,823,,
0117C1150,341,,
0117C1160,933,,
0117C1170,797,,
0117C1180,660,,
0117C1190,750,,
0117C1200,944,,
0120A0010,984,,
0120C1010,908,,
0120C1020,886,,
0120C1030,873,,
0120C1040,1038,,
0120C1050,687,,
0120C1060,969,,
0120C1070,374,,
0120C1080,556,,
0120C1090,663,,
0120C1100,973,,
0120C1110,1009,,
0120C1120,665,,
0120C1130,650,,
0120C1140,814,,
0120C1150,862,,
0120C1160,637,,
0120C1170,555,,
0120C1180,575,,
0120C1190,711,,
0120C1200,783,,
0120C1210,948,,
0120C1220,618,,
0120C1230,585,,
0123C1010,962,,
0123C1020,800,,
0123C1030,714,,
0123C1040,748,,
0123C1050,761,,
0123C1060,857,,
0123C1070,860,,
0123C1080,638,,
0123C1090,818,,
0123C1100,879,,
0123C1110,857,,
