"","deso","regso","nodes","avg_accessibility","avg_dijk_dist","avg_euc_dist","area_m2","Median income tkr","pop","total_households","swedish","foreign","middle_school","gymnasium","post_gymnasium_less_than_3","post_gymnasium_more_than_3","education_missing","hyresrätt","bostadsrätt","äganderätt","bilar_i_trafik","cars_per_household"
"1","1480C3050","Norra Biskopsgården",37,1.28700745405815,0,0.00742226428063864,132614.613178305,205.7,2429,856,0.0806916426512968,0.919308357348703,0.339203675344564,0.35375191424196,0.126339969372129,0.126339969372129,0.054364471669219,1,0,0,344,0.401869158878505
"2","1480C3070","Norra Biskopsgården",5,1.28700745405815,0,0.0039968095097563,55480.2558041873,204.7,923,348,0.0682556879739978,0.931744312026002,0.285436893203883,0.372815533980583,0.124271844660194,0.132038834951456,0.0854368932038835,1,0,0,152,0.436781609195402
"3","1480C3130","Jättesten",49,1.28700745405815,0,0.00639830644884076,246830.754156363,223.7,2401,1047,0.24073302790504,0.75926697209496,0.243983402489627,0.443153526970954,0.120331950207469,0.155186721991701,0.037344398340249,1,0,0,467,0.44603629417383
"4","1480C3390","Bergsjön sydöstra",106,1.28700745405815,0,0.0370329096698453,615086.159693541,247.1,2484,1128,0.152576489533011,0.847423510466989,0.193386053199137,0.375269590222861,0.137311286843997,0.206326383896477,0.087706685837527,0.905343511450382,0.00916030534351145,0.0854961832061069,511,0.453014184397163
"5","1480C3400","Bergsjön södra",55,1.28700745405815,0,0.0299562873180307,1475271.16886578,226,2880,988,0.0993055555555555,0.900694444444444,0.25494205862304,0.355146557600545,0.138377641445126,0.177914110429448,0.0736196319018405,0.884822389666308,0.0333692142088267,0.0818083961248654,559,0.565789473684211
"6","1480C3530","Bergsjön Rymdtorget",42,1.28700745405815,0,0.0392426199071023,1341048.816028,192.1,1484,626,0.0774932614555256,0.922506738544474,0.293764988009592,0.382494004796163,0.127098321342926,0.133093525179856,0.0635491606714628,1,0,0,253,0.404153354632588
"7","1480C3770","Hammarkullen centrala",92,1.28700745405815,0,0.00920640489537167,443486.571769079,190,2706,995,0.105691056910569,0.894308943089431,0.295947901591896,0.386396526772793,0.101302460202605,0.142547033285094,0.0738060781476122,0.904719501335708,0.0587711487088157,0.0365093499554764,439,0.441206030150754
"8","1480C3860","Rannebergen södra",69,1.28700745405815,0,0.0206888960209694,426097.062112772,201.5,2684,1143,0.202682563338301,0.797317436661699,0.324626865671642,0.414179104477612,0.0992537313432836,0.121641791044776,0.0402985074626866,1,0,0,497,0.434820647419073
"9","1480C3560","Bergsjön Rymdtorget",65,1.28112177757835,59.4519777581488,0.0371430145561883,341580.002514779,222,3381,1029,0.116533569949719,0.883466430050281,0.286065070595457,0.370779619398404,0.131368937998772,0.14610190300798,0.0656844689993861,0.780925401322002,0.219074598677998,0,564,0.548104956268222
"10","1480C3140","Länsmansgården södra",57,1.28096639566535,52.2519867651988,0.00306521308072228,363570.017551101,227,1922,645,0.160249739854318,0.839750260145682,0.286919831223629,0.40506329113924,0.109704641350211,0.141350210970464,0.0569620253164557,1,0,0,299,0.463565891472868
"11","1480C1300","Tofta",36,1.27807519423112,78.3649367945238,0.00380239699988469,118796.186795917,240.3,1207,640,0.493786246893123,0.506213753106877,0.176656151419558,0.430599369085173,0.151419558359621,0.20820189274448,0.0331230283911672,1,0,0,268,0.41875
"12","1480C1900","Annedal-Änggården",66,1.27737196916477,83.3152415698379,0.00285842908829012,162273.853159077,356.1,2118,1355,0.800755429650614,0.199244570349386,0.04,0.269803921568627,0.207843137254902,0.462745098039216,0.0196078431372549,0.826782145236509,0.173217854763491,0,389,0.287084870848708
"13","1480C2240","Haga",31,1.27093313491857,137.992915986918,0.00147556662013541,94738.2254170786,358.3,1993,1056,0.747616658304064,0.252383341695936,0.0762867647058824,0.299632352941176,0.191176470588235,0.409926470588235,0.0229779411764706,0.937558247903076,0.0624417520969245,0,395,0.37405303030303
"14","1480C1280","Frölunda torg östra",162,1.26972590553588,148.349916320905,0.00122045825163847,203263.420244559,234.5,2183,1013,0.259734310581768,0.740265689418232,0.171475680131904,0.347073371805441,0.16075845012366,0.278647980214345,0.0420445177246496,0.877437325905292,0.122562674094708,0,343,0.338598223099704
"15","1480C1600","Guldheden södra",52,1.26497343638098,191.006204256036,0.00255002976475935,283318.236611577,305.7,2144,1298,0.71875,0.28125,0.0722610722610723,0.237762237762238,0.177933177933178,0.493395493395493,0.0186480186480186,0.808823529411765,0.188970588235294,0.00220588235294118,484,0.372881355932203
"16","1480C3290","Backa Röd",74,1.26301636077479,233.115458896749,0.0142681533212225,186566.221439871,240.3,2569,1144,0.252627481510315,0.747372518489685,0.18526031102096,0.388776200135227,0.171737660581474,0.214334009465855,0.0398918187964841,1,0,0,490,0.428321678321678
"17","1480C2930","Kvillebäcken Wieselgrensplatsen",66,1.26243401266397,211.670339256889,0.00221433123604283,131682.179611727,295.5,1418,914,0.535260930888575,0.464739069111425,0.102310231023102,0.33003300330033,0.2002200220022,0.347634763476348,0.0198019801980198,0.843587069864442,0.156412930135558,0,310,0.339168490153173
"18","1480C2250","Haga",86,1.26088884399036,225.910902325753,0.00193314169968495,246210.145110646,394.4,1836,951,0.765250544662309,0.234749455337691,0.0574162679425837,0.265071770334928,0.191387559808612,0.473684210526316,0.0124401913875598,0.771947527749748,0.228052472250252,0,374,0.393270241850683
"19","1480C2160","Majorna Hängmattan",58,1.26041942017927,230.137692413403,0.00156097123231701,114450.962155556,358.7,1858,989,0.723896663078579,0.276103336921421,0.0757299270072993,0.326642335766423,0.182481751824818,0.396897810218978,0.0182481751824818,0.797029702970297,0.202970297029703,0,423,0.427704752275025
