from_node,to_node,distance
1,53478,2078.68757615874
2,53478,1548.7624048509572
3,53478,1833.2450467476153
4,53478,3312.038317312824
5,5327,4196.00722060777
6,5327,3779.5540770796783
7,29217,420.02569629375495
8,29217,304.5916338595156
9,29217,1314.1620412231168
10,29217,1225.76954980524
11,29217,392.9232859711806
12,29217,785.6418496413404
13,29217,801.8617394380072
14,29217,534.9370773590736
15,29217,494.17542813047476
16,29217,626.9305483702769
17,29217,749.3441788222838
18,29217,413.07449182797956
19,29217,471.71115452719164
20,15557,1140.6505503681562
21,18816,2050.587862988808
22,43092,1750.0441183556002
23,43092,1850.3720111967377
24,43092,1858.4350849638438
25,18816,1585.9873011912591
26,18816,1515.5992633072585
27,18816,1626.5864737108113
28,15558,992.8811017058174
29,18816,1593.976624042067
30,18816,1416.4597292358283
31,18816,1466.1336554756776
32,15557,1152.2138798562446
33,18609,402.21237162700425
34,18609,311.97719916206114
35,18609,290.3531219912339
36,18609,137.9188523708617
37,18609,158.2282009335055
38,18609,344.2033390661191
39,18609,741.5428346449015
40,42711,3810.460510493964
41,42711,3534.058647930849
42,5327,4375.1285240136485
43,17879,2156.231254491879
44,60477,568.9321008397848
45,60477,657.6712784932187
46,42016,1319.5211227078305
47,15558,809.1094788764474
48,18609,390.86215796827247
49,18609,326.6478610453458
50,15252,525.6116478165088
51,15252,569.0981367023443
52,15252,605.4968717571472
53,15252,562.9659756743887
54,15252,303.6703264975888
55,15252,94.41566359715839
56,17319,88.84141825348775
57,17319,96.68785921005367
58,33455,138.1461653366907
59,32256,316.0077236218894
60,1300,315.5115730764995
61,1300,195.2641963812867
62,1300,228.63455203282828
63,1300,205.1122577190048
64,1300,213.77864318260012
65,15252,668.4805686623737
66,24028,569.7650028626658
67,33507,609.9906807688301
68,24028,540.0621916005202
69,17319,236.71702953766365
70,17319,302.71777617007257
71,52251,216.3159972082896
72,52251,248.73591326380256
73,52251,324.49226833628836
74,15252,192.02007959147969
75,15252,100.59078360535713
76,15252,211.8905020146491
77,15252,188.32301418798608
78,15252,478.43274136234396
79,15252,420.2267182546805
80,44181,410.6543452271453
81,44181,371.6490444620341
82,52251,371.45944170191774
83,52251,297.6397555565524
84,52251,356.06537201387926
