from_node,to_node,distance
1,5464,0
2,5464,0
5,4289,3898.258295143777
6,4289,3481.805151615685
7,7399,2442.611140763397
8,7399,2010.3319632015446
9,7399,2702.600979251508
10,7399,2614.2084878336314
11,7399,2534.1837409388154
12,7399,1896.9639405376888
13,7399,1913.1838303343557
14,7399,1822.480785355611
15,7399,1781.7191361270122
16,7399,1914.4742563668144
17,7399,1860.6662697186323
18,7399,1700.618199824517
19,7399,1589.1517214877358
20,4070,0
21,10829,2074.9380771373526
22,11470,1841.2518487449126
23,11470,1941.5797415860502
24,11470,1895.6528222610884
25,10829,1647.555252637048
26,11470,1578.299524478228
27,11470,1689.2867348817808
28,4070,0
29,10829,1618.3268381906112
30,10829,1440.8099433843727
31,4070,0
34,4978,0
35,4978,0
36,4978,0
37,4978,0
38,4978,0
39,4978,0
40,11414,0
41,11414,0
43,8785,0
44,15416,575.4434476166651
45,15416,664.182625270099
46,11623,7815.998354710305
47,11623,6418.629338873956
48,11623,9257.229205158568
49,11623,9381.757721126824
50,3386,828.98288649699
51,4070,0
52,4978,0
53,4978,0
54,9286,6785.43197098327
55,9286,7642.13461237521
56,2686,14831.745523656
57,2686,15666.828472073397
58,2686,17490.99479603951
59,2686,18894.697330553856
60,3958,530.0232967434308
61,3958,573.5097856292663
62,3958,637.1158491570908
63,3958,594.5849530743322
64,3958,303.6703264975888
65,3958,94.41566359715839
66,4507,88.84141825348775
67,4507,96.68785921005367
68,8286,158.472332655136
69,3526,329.20820656947166
70,725,1282.8677987622063
71,725,1129.250066415452
72,725,954.8673028212999
73,725,963.5336882848952
74,3958,700.0995460623171
75,3957,476.0985931847001
76,4507,236.71702953766365
77,4507,302.71777617007257
78,134,166.9593590867845
79,134,199.37927514229747
80,134,275.13563021478325
81,3958,100.59078360535713
82,3958,211.89050201464914
87,9286,4991.8784223506855
89,1530,265.5718233334679
90,1530,152.5601317964116
91,210,180.73735786012924
92,210,206.51827363108674
93,1530,520.8445761836222
94,1530,340.27252240300237
95,1530,1240.2157722937047
96,7028,1041.8749704562656
97,1530,556.4810728983038
98,1530,758.1203010267088
99,1530,934.7240978929858
100,1530,793.6745309522762
103,1530,808.6229996033246
104,1530,685.8329011068861
105,383,2725.5181044692717
106,383,2773.0167587303813
113,210,111.3156284921734
114,210,149.23894257934086
115,474,3171.9238343877055
116,474,3196.4738022093406
117,474,2712.6225324954357
118,474,2730.8096749450383
119,474,2577.319409056221
120,474,2638.7926087985966
127,5700,0
128,2316,0
129,134,378.31301532720124
130,134,249.53405371703275
131,134,262.0129957646982
132,134,158.24763540875557
133,134,298.0771592017567
134,134,0
135,11890,1133.8643131556332
136,11890,1146.0071972199314
137,134,152.573018259047
138,11890,354.9027923656077
139,11890,368.32804338183047
140,11890,693.248018365893
141,11890,543.3231164753764
142,11890,630.5161723287697
143,11890,577.5211623061683
144,11890,638.6643861926646
145,11890,615.0736410758333
146,11890,526.2313041198126
147,3526,229.70448023370096
148,9897,254.00223435071507
149,9897,263.6708736650646
150,13859,58.234476556025285
151,13859,51.09408035959209
152,7528,0
