deso,swedish,foreign,total
0114A0010,669,194,863
0114C1010,1133,429,1562
0114C1020,1132,487,1619
0114C1030,1718,609,2327
0114C1040,1046,1279,2325
0114C1050,1644,449,2093
0114C1060,1652,1477,3129
0114C1070,1050,601,1651
0114C1080,853,1639,2492
0114C1090,869,2108,2977
0114C1100,1036,790,1826
0114C1110,1308,940,2248
0114C1120,1289,962,2251
0114C1130,971,1104,2075
0114C1140,2307,973,3280
0114C1150,1165,1489,2654
0114C1160,1294,731,2025
0114C1170,917,749,1666
0114C1180,669,396,1065
0114C1190,1153,868,2021
0114C1200,742,2029,2771
0114C1210,849,1752,2601
0114C1220,888,853,1741
0115A0010,1722,463,2185
0115A0020,976,256,1232
0115A0030,1102,154,1256
0115A0040,1203,279,1482
0115B2010,1219,225,1444
0115B3010,950,215,1165
0115C1010,2151,469,2620
0115C1020,2003,351,2354
0115C1030,1054,231,1285
0115C1040,1817,305,2122
0115C1050,2250,498,2748
0115C1060,1620,553,2173
0115C1070,1337,1036,2373
0115C1080,1193,282,1475
0115C1090,933,415,1348
0115C1100,2030,486,2516
0115C1110,1453,536,1989
0115C1120,1442,374,1816
0115C1130,1002,266,1268
0117A0010,594,116,710
0117A0020,1787,311,2098
0117A0030,1961,425,2386
0117C1010,1424,256,1680
0117C1020,1346,292,1638
0117C1030,2283,372,2655
0117C1040,2345,290,2635
0117C1050,2061,642,2703
0117C1060,2229,476,2705
0117C1070,1919,422,2341
0117C1080,2440,507,2947
0117C1090,1995,570,2565
0117C1100,1867,927,2794
0117C1110,1346,1209,2555
0117C1120,1235,578,1813
0117C1130,1382,732,2114
0117C1140,1565,785,2350
0117C1150,611,239,850
0117C1160,1688,560,2248
0117C1170,1570,390,1960
0117C1180,1128,318,1446
0117C1190,1343,371,1714
0117C1200,1812,419,2231
0120A0010,1941,279,2220
0120C1010,1550,335,1885
0120C1020,1431,281,1712
0120C1030,1660,220,1880
0120C1040,1954,413,2367
0120C1050,1243,437,1680
0120C1060,1924,320,2244
0120C1070,717,101,818
0120C1080,1466,341,1807
0120C1090,1820,228,2048
0120C1100,2511,404,2915
0120C1110,2707,636,3343
0120C1120,1615,348,1963
0120C1130,1478,392,1870
0120C1140,1912,514,2426
0120C1150,1338,283,1621
0120C1160,1508,206,1714
0120C1170,1231,270,1501
0120C1180,1136,812,1948
0120C1190,1609,517,2126
0120C1200,1290,274,1564
0120C1210,1702,322,2024
0120C1220,1154,190,1344
0120C1230,1134,303,1437
0123C1010,1498,890,2388
0123C1020,1244,684,1928
0123C1030,1190,602,1792
0123C1040,1235,398,1633
0123C1050,1347,643,1990
0123C1060,1538,684,2222
0123C1070,1462,608,2070
0123C1080,1158,469,1627
0123C1090,1607,1187,2794
0123C1100,1485,723,2208
0123C1110,1548,569,2117
0123C1120,1295,547,1842
0123C1130,223,1314,1537
0123C1140,2016,3995,6011
0123C1150,1208,1007,2215
0123C1160,528,1455,1983
0123C1170,110,1012,1122
0123C1180,1285,664,1949
0123C1190,451,1573,2024
0123C1200,596,774,1370
0123C1210,326,1512,1838
0123C1220,1310,2247,3557
0123C1230,947,1477,2424
0123C1240,894,915,1809
0123C1250,454,1126,1580
0123C1260,897,2074,2971
0123C1270,1440,755,2195
0123C1280,381,715,1096
0123C1290,676,1663,2339
0123C1300,1091,927,2018
0123C1310,1041,509,1550
0123C1320,1676,1014,2690
0123C1330,1409,517,1926
0123C1340,1194,1086,2280
0123C1350,1141,1203,2344
0123C1360,1395,932,2327
0123C1370,578,1321,1899
0123C1380,682,323,1005
0123C1390,1346,793,2139
0123C1400,1855,796,2651
0125A0010,821,164,985
0125A0020,1311,385,1696
0125A0030,639,146,785
0125A0040,1560,522,2082
0125B2010,1267,290,1557
0125B2020,2066,416,2482
0125B2030,1052,146,1198
0125B3010,656,169,825
0125B3020,1171,187,1358
0125C1010,1426,186,1612
0125C1020,1284,132,1416
0125C1030,1944,260,2204
0125C1040,2156,709,2865
0125C1050,1272,311,1583
0125C1060,1437,377,1814
0125C1070,1765,311,2076
0125C1080,2115,470,2585
0126A0010,1288,315,1603
0126C1010,1722,1088,2810
0126C1020,862,2163,3025
0126C1030,565,1431,1996
0126C1040,1174,626,1800
0126C1050,1279,477,1756
0126C1060,456,1396,1852
0126C1070,435,925,1360
0126C1080,603,2487,3090
0126C1090,367,1337,1704
0126C1100,894,598,1492
