deso,total_households,,,"Antal hushåll efter år, region och hushållstyp"
0114A0010,357,,,
0114C1010,598,,,
0114C1020,564,,,
0114C1030,945,,,
0114C1040,1078,,,
0114C1050,686,,,
0114C1060,1289,,,
0114C1070,610,,,
0114C1080,1017,,,
0114C1090,1533,,,
0114C1100,629,,,
0114C1110,971,,,
0114C1120,1302,,,
0114C1130,1028,,,
0114C1140,1170,,,
0114C1150,1229,,,
0114C1160,874,,,
0114C1170,741,,,
0114C1180,536,,,
0114C1190,836,,,
0114C1200,1031,,,
0114C1210,1190,,,
0114C1220,679,,,
0115A0010,854,,,
0115A0020,553,,,
0115A0030,490,,,
0115A0040,595,,,
0115B2010,498,,,
0115B3010,451,,,
0115C1010,901,,,
0115C1020,911,,,
0115C1030,590,,,
0115C1040,770,,,
0115C1050,897,,,
0115C1060,1294,,,
0115C1070,1142,,,
0115C1080,594,,,
0115C1090,698,,,
0115C1100,872,,,
0115C1110,805,,,
0115C1120,618,,,
0115C1130,423,,,
0117A0010,279,,,
0117A0020,1092,,,
0117A0030,986,,,
0117C1010,572,,,
0117C1020,600,,,
0117C1030,939,,,
0117C1040,946,,,
0117C1050,900,,,
0117C1060,1178,,,
0117C1070,817,,,
0117C1080,1029,,,
0117C1090,971,,,
0117C1100,1283,,,
0117C1110,1296,,,
0117C1120,862,,,
0117C1130,1011,,,
0117C1140,1369,,,
0117C1150,298,,,
0117C1160,775,,,
0117C1170,692,,,
0117C1180,504,,,
0117C1190,572,,,
0117C1200,829,,,
0120A0010,1077,,,
0120C1010,745,,,
0120C1020,683,,,
0120C1030,651,,,
0120C1040,852,,,
0120C1050,716,,,
0120C1060,839,,,
0120C1070,286,,,
0120C1080,833,,,
0120C1090,632,,,
0120C1100,971,,,
0120C1110,1752,,,
0120C1120,770,,,
0120C1130,803,,,
0120C1140,1268,,,
0120C1150,708,,,
0120C1160,558,,,
0120C1170,640,,,
0120C1180,1010,,,
0120C1190,950,,,
0120C1200,588,,,
0120C1210,946,,,
0120C1220,480,,,
0120C1230,527,,,
0123C1010,762,,,
0123C1020,664,,,
0123C1030,556,,,
0123C1040,640,,,
0123C1050,681,,,
0123C1060,800,,,
0123C1070,754,,,
0123C1080,642,,,
0123C1090,1291,,,
0123C1100,978,,,
0123C1110,740,,,
0123C1120,669,,,
0123C1130,520,,,
0123C1140,3040,,,
0123C1150,1113,,,
0123C1160,875,,,
0123C1170,407,,,
0123C1180,697,,,
0123C1190,850,,,
0123C1200,607,,,
0123C1210,739,,,
0123C1220,1707,,,
0123C1230,1262,,,
0123C1240,936,,,
0123C1250,748,,,
0123C1260,1442,,,
0123C1270,732,,,
0123C1280,501,,,
0123C1290,982,,,
0123C1300,682,,,
0123C1310,542,,,
0123C1320,957,,,
0123C1330,1014,,,
0123C1340,1119,,,
0123C1350,1279,,,
0123C1360,1321,,,
0123C1370,707,,,
0123C1380,416,,,
0123C1390,833,,,
0123C1400,915,,,
0125A0010,426,,,
0125A0020,697,,,
0125A0030,367,,,
0125A0040,968,,,
0125B2010,523,,,
0125B2020,969,,,
0125B2030,435,,,
0125B3010,339,,,
0125B3020,533,,,
0125C1010,523,,,
0125C1020,466,,,
0125C1030,766,,,
0125C1040,1142,,,
0125C1050,568,,,
0125C1060,781,,,
0125C1070,743,,,
0125C1080,969,,,
0126A0010,666,,,
0126C1010,955,,,
0126C1020,1534,,,
0126C1030,925,,,
0126C1040,666,,,
0126C1050,680,,,
0126C1060,746,,,
0126C1070,548,,,
0126C1080,1529,,,
0126C1090,595,,,
0126C1100,643,,,
0126C1110,891,,,
0126C1120,669,,,
0126C1130,895,,,
0126C1140,709,,,
0126C1150,409,,,
0126C1160,944,,,
0126C1170,702,,,
0126C1180,500,,,
0126C1190,1356,,,
0126C1200,779,,,
0126C1210,645,,,
0126C1220,1040,,,
0126C1230,1256,,,
0126C1240,525,,,
0126C1250,962,,,
0126C1260,1070,,,
0126C1270,497,,,
0126C1280,1050,,,
0126C1290,743,,,
0126C1300,1172,,,
0126C1310,1018,,,
0126C1320,882,,,
0126C1330,671,,,
0126C1340,812,,,
0126C1350,950,,,
0126C1360,742,,,
0126C1370,466,,,
0126C1380,334,,,
0126C1390,701,,,
0126C1400,538,,,
0126C1410,812,,,
0126C1420,861,,,
0126C1430,445,,,
0126C1440,432,,,
0126C1450,341,,,
0126C1460,1035,,,
0126C1470,534,,,
0126C1480,691,,,
0126C1490,304,,,
0126C1500,626,,,
0126C1510,807,,,
0126C1520,467,,,
0126C1530,909,,,
0126C1540,378,,,
0126C1550,1065,,,
0126C1560,611,,,
0126C1570,622,,,
0126C1580,605,,,
0126C1590,721,,,
0127A0010,895,,,
0127A0020,632,,,
0127C1010,332,,,
0127C1020,777,,,
0127C1030,931,,,
0127C1040,557,,,
0127C1050,1209,,,
0127C1060,590,,,
0127C1070,555,,,
0127C1080,989,,,
0127C1090,857,,,
0127C1100,950,,,
0127C1110,779,,,
0127C1120,540,,,
0127C1130,535,,,
0127C1140,829,,,
0127C1150,1134,,,
0127C1160,979,,,
0127C1170,722,,,
0127C1180,1855,,,
0127C1190,767,,,
0127C1200,722,,,
0127C1210,951,,,
0127C1220,676,,,
0127C1230,374,,,
0127C1240,393,,,
0127C1250,685,,,
0127C1260,652,,,
0127C1270,821,,,
0127C1280,530,,,
0127C1290,762,,,
0127C1300,511,,,
0127C1310,461,,,
0127C1320,912,,,
0127C1330,403,,,
0127C1340,694,,,
0127C1350,1381,,,
0127C1360,734,,,
0127C1370,846,,,
0127C1380,407,,,
0127C1390,579,,,
0127C1400,739,,,
0127C1410,745,,,
0127C1420,760,,,
0127C1430,712,,,
0127C1440,851,,,
0127C1450,385,,,
0127C1460,493,,,
0127C1470,869,,,
0127C1480,462,,,
0128A0010,730,,,
0128C1010,979,,,
0128C1020,838,,,
0128C1030,799,,,
0128C1040,738,,,
0128C1050,918,,,
0128C1060,724,,,
0128C1070,1010,,,
0136A0010,356,,,
0136A0020,990,,,
0136A0030,526,,,
0136B2010,829,,,
0136C1010,592,,,
0136C1020,653,,,
0136C1030,956,,,
0136C1040,980,,,
0136C1050,1201,,,
0136C1060,642,,,
0136C1070,1045,,,
0136C1080,949,,,
0136C1090,846,,,
0136C1100,910,,,
0136C1110,1015,,,
0136C1120,815,,,
0136C1130,668,,,
0136C1140,407,,,
0136C1150,525,,,
0136C1160,1099,,,
0136C1170,1451,,,
0136C1180,784,,,
0136C1190,547,,,
0136C1200,833,,,
0136C1210,654,,,
0136C1220,756,,,
0136C1230,944,,,
0136C1240,827,,,
0136C1250,1279,,,
0136C1260,723,,,
0136C1270,642,,,
0136C1280,446,,,
0136C1290,846,,,
0136C1300,595,,,
0136C1310,2168,,,
0136C1320,919,,,
0136C1330,763,,,
0136C1340,1697,,,
0136C1350,487,,,
0136C1360,838,,,
0136C1370,704,,,
0136C1380,800,,,
0136C1390,969,,,
0136C1400,727,,,
0136C1410,329,,,
0136C1420,494,,,
0136C1430,695,,,
0136C1440,733,,,
0136C1450,742,,,
0138A0010,523,,,
0138C1010,697,,,
0138C1020,716,,,
0138C1030,630,,,
0138C1040,850,,,
0138C1050,835,,,
0138C1060,721,,,
0138C1070,759,,,
0138C1080,1068,,,
0138C1090,1002,,,
0138C1100,605,,,
0138C1110,812,,,
0138C1120,930,,,
0138C1130,766,,,
0138C1140,601,,,
0138C1150,1213,,,
0138C1160,963,,,
0138C1170,1551,,,
0138C1180,519,,,
0138C1190,472,,,
