deso,hyresrätt,bostadsrätt,äganderätt,uppgift saknas,,"Antal lägenheter efter år, region och upplåtelseform"
0114A0010,68,11,234,0,,
0114C1010,2,222,386,0,,
0114C1020,0,0,556,0,,
0114C1030,5,555,371,0,,
0114C1040,273,816,5,0,,
0114C1050,48,52,570,0,,
0114C1060,718,452,108,0,,
0114C1070,77,7,509,0,,
0114C1080,972,95,5,0,,
0114C1090,1052,693,0,0,,
0114C1100,106,136,389,0,,
0114C1110,309,402,285,0,,
0114C1120,460,917,94,0,,
0114C1130,0,1024,51,0,,
0114C1140,65,279,761,0,,
0114C1150,405,619,295,0,,
0114C1160,493,178,231,0,,
0114C1170,421,0,310,0,,
0114C1180,1,527,29,0,,
0114C1190,426,149,280,0,,
0114C1200,705,310,56,0,,
0114C1210,913,305,32,0,,
0114C1220,283,49,261,0,,
0115A0010,68,28,740,0,,
0115A0020,74,0,530,0,,
0115A0030,9,0,469,0,,
0115A0040,84,92,459,0,,
0115B2010,20,85,398,0,,
0115B3010,108,43,354,0,,
0115C1010,7,222,700,0,,
0115C1020,5,493,401,0,,
0115C1030,0,463,141,0,,
0115C1040,2,228,548,0,,
0115C1050,24,2,865,0,,
0115C1060,261,1094,67,0,,
0115C1070,625,567,55,0,,
0115C1080,2,165,431,0,,
0115C1090,95,672,0,0,,
0115C1100,13,312,534,0,,
0115C1110,73,271,510,0,,
0115C1120,7,28,594,0,,
0115C1130,86,0,357,0,,
0117A0010,5,16,240,0,,
0117A0020,120,77,807,0,,
0117A0030,137,0,873,1,,
0117C1010,27,24,425,0,,
0117C1020,14,21,471,0,,
0117C1030,46,12,843,0,,
0117C1040,20,85,802,0,,
0117C1050,173,221,588,0,,
0117C1060,13,627,551,0,,
0117C1070,115,24,689,0,,
0117C1080,7,29,921,0,,
0117C1090,0,527,395,0,,
0117C1100,457,380,489,0,,
0117C1110,1221,146,0,0,,
0117C1120,256,409,233,0,,
0117C1130,193,611,235,0,,
0117C1140,530,830,44,0,,
0117C1150,21,12,261,0,,
0117C1160,8,74,651,0,,
0117C1170,71,8,596,0,,
0117C1180,16,0,416,0,,
0117C1190,46,1,533,0,,
0117C1200,238,1,661,0,,
0120A0010,200,106,938,0,,
0120C1010,8,0,728,0,,
0120C1020,17,0,673,0,,
0120C1030,18,8,622,0,,
