deso,Median income tkr,Antal personer totalt,,,,,
0114A0010,374.7,652,,,,,
0114C1010,424.4,1132,,,,,
0114C1020,415.7,1131,,,,,
0114C1030,395.9,1717,,,,,
0114C1040,304.3,1759,,,,,
0114C1050,503,1357,,,,,"Andel av befolkningen i inkomstklass efter år, tabellinnehåll, inkomstslag och region"
0114C1060,352.2,2179,,,,,
0114C1070,379.3,1227,,,,,Vissa personer går inte att placera geografiskt under kommunnivå. Dessa har fördelats på DeSO/RegSO i centralorter inom kommunen för att undvika identifiering.
0114C1080,297.1,1783,,,,,Samtliga inkomster är fastprisberäknade till senaste redovisningsår.
0114C1090,256.4,2359,,,,,"Nettoinkomst 
  Nettoinkomst är summan av en persons alla skattepliktiga och skattefria inkomster minus skatt och övriga negativa transfereringar (exempelvis återbetalt studielån)."
0114C1100,387.5,1260,,,,,"Sammanräknad förvärvsinkomst 
  Summan av inkomst av tjänst och inkomst av näringsverksamhet. Den sammanräknade förvärvsinkomsten består av de sammanlagda löpande skattepliktiga inkomsterna, vilket avser inkomster från anställning, företagande, pension, sjukpenning och andra skattepliktiga transfereringar. I sammanräknad förvärvsinkomst ingår inte inkomst av kapital."
0114C1110,369.5,1625,,,,,Tabellen redovisar personer 20 år och äldre folkbokförda i Sverige 1/1 resp. 31/12 resp. år.
0114C1120,330.7,1890,,,,,"De rikstäckande indelningarna DeSO (Demografiska statistikområden) och RegSO (Regionala statistikområden) gäller från 1 januari 2018 respektive 1 juni 2020 och följer läns- och kommungränserna. RegSO har skapats genom att aggregera DeSO. Ytterligare information om DeSO och RegSO finns på SCB:s webbplats. 
  Mellan 2014 och 2015 sker en förändring i den metod som används för att koppla personer till ett visst DeSO. Före 2015 användes fastighetskoordinater, medan adresskoordinater används 2015 och efterföljande år. Denna förändring innebär att det blir ett mindre tidsseriebrott i statistiken för DeSO respektive RegSO mellan 2014 och 2015."
0114C1130,309,1648,,,,,Vissa RegSO-koder har uppdaterats med nya områdesbeteckningar. Se Excel-filen Historiska förändringar av RegSO på sidan <a href = 'https://www.scb.se/hitta-statistik/regional-statistik-och-kartor/regionala-indelningar/regso---regionala-statistikomraden/regso-tabellerna-i-statistikdatabasen---information-och-instruktioner/'>RegSO i Statistikdatabasen</a>.
0114C1140,418.5,2241,,,,,"Statistiken redovisas från och med inkomstår 2011 inklusive löne- och pensionsinkomster från övriga nordiska länder. I samband med publiceringen av inkomstår 2020 reviderades statistik för åren 2011–2019. 
  Omfattningen av de totala inkomsterna från övriga Norden varierar över tid. För åren 2011–2014 är täckningen sämre än för senare år, vilket till stor del beror på brister i data från Norge. För 2011 saknas i princip inkomster från Norge. För år 2012–2014 är makrobeloppet för Norge ungefär hälften av beloppet för 2015. 
  Ytterligare information finns i statistikens kvalitetsdeklaration."
0114C1150,342.2,2077,,,,,"Helårsbefolkningen består av personer som varit folkbokförda i Sverige hela året och som ingår i ett hushåll med disponibel hushållsinkomst skild från noll kronor. Från och med 2021 exkluderas även personer som saknar uppgift om hushållstillhörighet om deras disponibla familjeinkomst är noll kronor. Denna förändring tillämpas även retroaktivt tillbaka till 2011, och innebär att ytterligare 3 000–4 000 personer per år exkluderas från redovisningen, vilka kan antas vara övertäckning i RTB."
0114C1160,355.1,1470,,,,,
0114C1170,312.6,1289,,,,,
0114C1180,344.8,857,,,,,
0114C1190,358.3,1447,,,,,
0114C1200,291.2,1922,,,,,
0114C1210,269.4,1956,,,,,
0114C1220,336.6,1268,,,,,
0115A0010,384.1,1670,,,,,
0115A0020,365.8,994,,,,,
0115A0030,374,983,,,,,
0115A0040,367.3,1117,,,,,
0115B2010,413.4,968,,,,,
0115B3010,381.8,838,,,,,
0115C1010,495.2,1709,,,,,
0115C1020,460.5,1557,,,,,
0115C1030,404.3,912,,,,,
0115C1040,452,1484,,,,,
0115C1050,437.8,1889,,,,,
0115C1060,280.4,1865,,,,,
0115C1070,324.9,1759,,,,,
0115C1080,381.9,1119,,,,,
0115C1090,297.6,1072,,,,,
0115C1100,436.5,1669,,,,,
0115C1110,351.5,1447,,,,,
0115C1120,409.1,1246,,,,,
0115C1130,497.6,804,,,,,
0117A0010,414.5,527,,,,,
0117A0020,314.8,1743,,,,,
0117A0030,365.5,1867,,,,,
0117C1010,480.1,1138,,,,,
0117C1020,454.4,1148,,,,,
0117C1030,436.1,1905,,,,,
0117C1040,500,1901,,,,,
0117C1050,463.2,1678,,,,,
0117C1060,391.1,2072,,,,,
0117C1070,426.9,1634,,,,,
0117C1080,431.2,2059,,,,,
0117C1090,396.4,1735,,,,,
0117C1100,345.1,2127,,,,,
0117C1110,268.5,2008,,,,,
0117C1120,315.8,1428,,,,,
0117C1130,321.8,1654,,,,,
0117C1140,307.1,1971,,,,,
0117C1150,363.1,628,,,,,
0117C1160,414.6,1522,,,,,
0117C1170,386.3,1372,,,,,
0117C1180,435.5,974,,,,,
0117C1190,382.9,1180,,,,,
0117C1200,391.3,1554,,,,,
0120A0010,330,1818,,,,,
0120C1010,387.1,1394,,,,,
0120C1020,384.1,1288,,,,,
0120C1030,468.4,1297,,,,,
0120C1040,412.4,1715,,,,,
0120C1050,341,1276,,,,,
0120C1060,429,1582,,,,,
0120C1070,447.9,596,,,,,
0120C1080,396.9,1289,,,,,
0120C1090,530.2,1278,,,,,
0120C1100,508.3,1821,,,,,
0120C1110,394.3,2605,,,,,
0120C1120,387.2,1384,,,,,
0120C1130,349.4,1382,,,,,
0120C1140,339,1913,,,,,
0120C1150,365.8,1267,,,,,
0120C1160,473.7,1152,,,,,
0120C1170,403.7,1098,,,,,
0120C1180,305.1,1522,,,,,
0120C1190,332.7,1576,,,,,
0120C1200,396.4,1152,,,,,
0120C1210,324,1634,,,,,
0120C1220,461.3,956,,,,,
0120C1230,419.9,1011,,,,,
0123C1010,405.1,1620,,,,,
0123C1020,395.2,1302,,,,,
0123C1030,442.2,1220,,,,,
0123C1040,422.9,1195,,,,,
0123C1050,445.3,1245,,,,,
0123C1060,419.5,1594,,,,,
0123C1070,400,1474,,,,,
0123C1080,367.4,1185,,,,,
0123C1090,351.1,2071,,,,,
0123C1100,351.5,1673,,,,,
0123C1110,435.8,1453,,,,,
0123C1120,394,1317,,,,,
0123C1130,249,1047,,,,,
0123C1140,358.7,4577,,,,,
0123C1150,304.3,1717,,,,,
0123C1160,279.8,1463,,,,,
0123C1170,214.8,767,,,,,
0123C1180,395.2,1404,,,,,
0123C1190,282.9,1500,,,,,
0123C1200,353.4,922,,,,,
0123C1210,249.6,1309,,,,,
0123C1220,339.5,2699,,,,,
0123C1230,285,1933,,,,,
0123C1240,341.1,1416,,,,,
0123C1250,273.9,1266,,,,,
0123C1260,273,2314,,,,,
0123C1270,421.8,1570,,,,,
0123C1280,278.6,855,,,,,
0123C1290,268.3,1757,,,,,
0123C1300,387.4,1441,,,,,
0123C1310,436.7,1073,,,,,
0123C1320,416.8,1831,,,,,
0123C1330,428,1656,,,,,
