bro;Kommunnamn;DeSO;RegSO;;;;
1440;Ale;1440C1060;Alafors;;;;
1440;Ale;1440A0020;Alvhem-Hålanda;;;;
1440;Ale;1440B3010;Alvhem-Hålanda;;;;
1440;Ale;1440B2030;Bohus;;;;
1440;Ale;1440B2040;Bohus;;;;
1440;Ale;1440C1030;Centrala Nödinge;;;;
1440;Ale;1440C1080;Centrala Älvängen;;;;
1440;Ale;1440C1040;Nol;;;;
1440;Ale;1440C1050;Nol;;;;
1440;Ale;1440C1090;Norra Älvängen;;;;
1440;Ale;1440C1100;Skepplanda;;;;
1440;Ale;1440A0010;Starrkärr-Kilanda-Ryd;;;;
1440;Ale;1440B2010;Surte;;;;
1440;Ale;1440B2020;Surte;;;;
1440;Ale;1440C1010;Södra Nödinge;;;;
1440;Ale;1440C1070;Södra Älvängen;;;;
1440;Ale;1440C1020;Östra Nödinge;;;;
1489;Alingsås;1489C1050;Alingsås centrum;;;;
1489;Alingsås;1489A0040;Alingsås nordöstra omland;;;;
1489;Alingsås;1489A0050;Alingsås norra omland;;;;
1489;Alingsås;1489A0030;Alingsås västra omland;;;;
1489;Alingsås;1489A0020;Alingsås östra omland;;;;
1489;Alingsås;1489C1140;Bolltorp;;;;
1489;Alingsås;1489C1090;Brogården-Östlyckan;;;;
1489;Alingsås;1489C1080;Brunnsparken-Landskyrkan;;;;
1489;Alingsås;1489C1010;Gråbo-Ängabo;;;;
1489;Alingsås;1489A0010;Hemsjö-Ödenäs;;;;
1489;Alingsås;1489B2010;Ingared;;;;
1489;Alingsås;1489C1020;Kullingsberg-Rothoffskär;;;;
1489;Alingsås;1489C1150;Kvarnbacken-Enehagen;;;;
1489;Alingsås;1489C1040;Lövekulle-Stadsskogen;;;;
1489;Alingsås;1489C1120;Nolby-Sävelund;;;;
1489;Alingsås;1489C1100;Nolhaga-Hagagården;;;;
1489;Alingsås;1489C1110;Noltorp;;;;
1489;Alingsås;1489C1070;Nygård-Stockslycke;;;;
1489;Alingsås;1489C1030;Prästeryd-Gerdsken;;;;
1489;Alingsås;1489C1130;Saxebäcken-Tegelbruket;;;;
1489;Alingsås;1489B3010;Sollebrunn;;;;
1489;Alingsås;1489C1060;Sörhaga-Gustav Adolf;;;;
1489;Alingsås;1489B2020;Västra bodarna-Hästeryd;;;;
0764;Alvesta;0764C1040;Alvesta centrum;;;;
0764;Alvesta;0764C1050;Alvesta nordost;;;;
0764;Alvesta;0764C1010;Alvesta sydost;;;;
0764;Alvesta;0764C1020;Alvesta södra;;;;
0764;Alvesta;0764C1030;Alvesta västra;;;;
0764;Alvesta;0764A0030;Blädinge;;;;
0764;Alvesta;0764A0020;Grimslöv;;;;
0764;Alvesta;0764A0040;Hjortsberga;;;;
0764;Alvesta;0764B2010;Moheda-Torpsbruk;;;;
0764;Alvesta;0764B2020;Moheda-Torpsbruk;;;;
0764;Alvesta;0764A0050;Slätthög;;;;
0764;Alvesta;0764B3010;Vislanda;;;;
0764;Alvesta;0764A0010;Västra Torsås;;;;
0604;Aneby;0604C1020;Aneby nordvästra;;;;
0604;Aneby;0604A0020;Aneby västra omland;;;;
0604;Aneby;0604C1010;Aneby östra;;;;
0604;Aneby;0604A0010;Aneby östra omland;;;;
1984;Arboga;1984A0010;Arboga landsbyggd norr;;;;
1984;Arboga;1984A0020;Arboga landsbyggd syd;;;;
1984;Arboga;1984C1060;Grindberga-Anneberg;;;;
1984;Arboga;1984C1050;Ladubackgärdena-Prästgärdet;;;;
1984;Arboga;1984C1040;Nästkvarn-Studrestaden;;;;
1984;Arboga;1984C1030;Sjukhusgärdet-Ekbacken;;;;
1984;Arboga;1984C1010;Strömsnäs-Brattberget;;;;
1984;Arboga;1984C1070;Vasastaden-Marieborg-Näsby;;;;
1984;Arboga;1984C1020;Vinbäcken-Åbrinken-Söder;;;;
2506;Arjeplog;2506A0010;Arjeplog glesbygd;;;;
2506;Arjeplog;2506C1010;Arjeplog tätort;;;;
2505;Arvidsjaur;2505C1030;Arvidsjaur centrala;;;;
2505;Arvidsjaur;2505A0010;Arvidsjaur omland;;;;
2505;Arvidsjaur;2505C1010;Arvidsjaur västra;;;;
2505;Arvidsjaur;2505C1020;Arvidsjaur östra;;;;
1784;Arvika;1784C1030;Arvika centrum-Högåsen-Degerängen;;;;
1784;Arvika;1784C1050;Arvika centrum-Högåsen-Degerängen;;;;
1784;Arvika;1784C1060;Arvika centrum-Högåsen-Degerängen;;;;
1784;Arvika;1784C1010;Dottevik-Östra Sund;;;;
1784;Arvika;1784A0010;Glava;;;;
1784;Arvika;1784A0070;Gunnarskog;;;;
1784;Arvika;1784C1040;Haga-Agneteberg-Rosendal;;;;
1784;Arvika;1784C1070;Haga-Agneteberg-Rosendal;;;;
1784;Arvika;1784C1080;Haga-Agneteberg-Rosendal;;;;
1784;Arvika;1784A0030;Jössefors-Västra Sund;;;;
1784;Arvika;1784A0060;Mangskog-Brunskog;;;;
1784;Arvika;1784C1020;Solvik-Taserud;;;;
1784;Arvika;1784C1090;Solvik-Taserud;;;;
1784;Arvika;1784A0040;Speke-Rackstad-Mötterud-Humlekil;;;;
